    10.4000    4.267261E-02  5.850044E-02  4.630639E+01
    10.4500    2.541369E-02  5.227045E-02  4.661616E+01
    10.5000    8.945819E-03  4.556085E-02  4.692626E+01
    10.5500   -4.323870E-03  3.840206E-02  4.723672E+01
    10.6000   -1.266201E-02  3.082218E-02  4.754723E+01
    10.6500   -1.528128E-02  2.285143E-02  4.785638E+01
    10.7000   -1.248913E-02  1.452726E-02  4.815858E+01
    10.7500   -5.675525E-03  5.908448E-03  4.841296E+01
    10.8000    2.885271E-03  3.095880E-03  4.592408E+01
    10.8500    1.041762E-02  1.211863E-02  4.608933E+01
    10.9000    1.417299E-02  2.128205E-02  4.639511E+01
    10.9500    1.202245E-02  3.044305E-02  4.671791E+01
    11.0000    2.997691E-03  3.948338E-02  4.704789E+01
    11.0500   -1.245232E-02  4.851444E-02  4.738347E+01
    11.1000   -3.229482E-02  5.725741E-02  4.772315E+01
    11.1500   -5.304307E-02  6.556915E-02  4.806628E+01
    11.2000   -7.040440E-02  7.330439E-02  4.841246E+01
    11.2500   -8.014115E-02  8.032002E-02  4.876144E+01
    11.3000   -7.902315E-02  8.647949E-02  4.911299E+01
    11.3500   -6.565553E-02  9.165708E-02  4.946697E+01
    11.4000   -4.097210E-02  9.574193E-02  4.982327E+01
    11.4500   -8.245783E-03  9.864160E-02  5.018179E+01
    11.5000    2.742701E-02  1.002852E-01  5.054250E+01
    11.5500    6.008637E-02  1.006259E-01  5.090540E+01
    11.6000    8.411686E-02  9.964290E-02  5.127052E+01
    11.6500    9.543510E-02  9.734243E-02  5.163799E+01
    11.7000    9.237920E-02  9.375847E-02  5.200802E+01
    11.7500    7.608193E-02  8.895252E-02  5.238093E+01
    11.8000    5.022673E-02  8.301293E-02  5.275725E+01
    11.8500    2.023131E-02  7.605384E-02  5.313782E+01
    11.9000   -7.956596E-03  6.821404E-02  5.352398E+01
    11.9500   -2.917039E-02  5.965644E-02  5.391799E+01
    12.0000   -4.013352E-02  5.056991E-02  5.432382E+01
    12.0500   -4.025572E-02  4.132700E-02  5.474968E+01
    12.1000   -3.113245E-02  3.199470E-02  5.521056E+01
    12.1500   -1.656533E-02  2.301652E-02  5.574528E+01
    12.2000   -1.385311E-03  1.539789E-02  5.645858E+01
    12.2500    9.787592E-03  1.191412E-02  5.751273E+01
    12.3000    1.369041E-02  1.506315E-02  5.854970E+01
    12.3500    9.187231E-03  2.151235E-02  5.924901E+01
    12.4000   -2.518851E-03  2.848617E-02  5.977880E+01
    12.4500   -1.826902E-02  3.506046E-02  6.023837E+01
    12.5000   -3.381312E-02  4.087190E-02  6.066454E+01
    12.5500   -4.492222E-02  4.573267E-02  6.107252E+01
    12.6000   -4.846026E-02  4.953207E-02  6.146947E+01
    12.6500   -4.314527E-02  5.220647E-02  6.185911E+01
    12.7000   -2.981886E-02  5.372811E-02  6.224350E+01
    12.7500   -1.117479E-02  5.410006E-02  6.262380E+01
    12.8000    8.962497E-03  5.335311E-02  6.300064E+01
    12.8500    2.660700E-02  5.154331E-02  6.337427E+01
    12.9000    3.857082E-02  4.874954E-02  6.374463E+01
    12.9500    4.317174E-02  4.507098E-02  6.411131E+01
    13.0000    4.052266E-02  4.062449E-02  6.447347E+01
    13.0500    3.243041E-02  3.564090E-02  6.483035E+01
    13.1000    2.153122E-02  3.013923E-02  6.517769E+01
    13.1500    1.087294E-02  2.427627E-02  6.550905E+01
    13.2000    2.976943E-03  1.823572E-02  6.580946E+01
    13.2500   -7.698395E-04  1.227875E-02  6.603618E+01
    13.3000   -3.754476E-04  7.041240E-03  6.602679E+01
    13.3500    2.890489E-03  5.231603E-03  6.538808E+01
    13.4000    6.963030E-03  8.719986E-03  6.504862E+01
    13.4500    9.634467E-03  1.349760E-02  6.517855E+01
    13.5000    9.205186E-03  1.812984E-02  6.544089E+01
    13.5500    4.956483E-03  2.228246E-02  6.574913E+01
    13.6000   -2.672500E-03  2.581640E-02  6.607715E+01
    13.6500   -1.223463E-02  2.865440E-02  6.641459E+01
    13.7000   -2.169211E-02  3.075287E-02  6.675639E+01
    13.7500   -2.897329E-02  3.209368E-02  6.709962E+01
    13.8000   -3.251107E-02  3.268096E-02  6.744223E+01
    13.8500   -3.161989E-02  3.253930E-02  6.778253E+01
    13.9000   -2.662084E-02  3.171249E-02  6.811878E+01
    13.9500   -1.869841E-02  3.026259E-02  6.844901E+01
    14.0000   -9.545443E-03  2.826945E-02  6.877061E+01
    14.0500   -8.841828E-04  2.591893E-02  6.908092E+01
    14.1000    5.943028E-03  2.323355E-02  6.937371E+01
    14.1500    1.021851E-02  2.035750E-02  6.964089E+01
    14.2000    1.197985E-02  1.747948E-02  6.987015E+01
    14.2500    1.190482E-02  1.486018E-02  7.004421E+01
    14.3000    1.103501E-02  1.286103E-02  7.014644E+01
    14.3500    1.042732E-02  1.189809E-02  7.018334E+01
    14.4000    1.083399E-02  1.220074E-02  7.020797E+01
    14.4500    1.249570E-02  1.358050E-02  7.028343E+01
    14.5000    1.509428E-02  1.560491E-02  7.042931E+01
    14.5500    1.786451E-02  1.788984E-02  7.063262E+01
    14.6000    1.982205E-02  2.018256E-02  7.087513E+01
    14.6500    2.003798E-02  2.233138E-02  7.114301E+01
    14.7000    1.788533E-02  2.424805E-02  7.142712E+01
    14.7500    1.319850E-02  2.588417E-02  7.172156E+01
    14.8000    6.315199E-03  2.721775E-02  7.202247E+01
    14.8500   -1.995886E-03  2.824508E-02  7.232735E+01
    14.9000   -1.069147E-02  2.897527E-02  7.263455E+01
    14.9500   -1.864869E-02  2.942601E-02  7.294302E+01
    15.0000   -2.485290E-02  2.961989E-02  7.325219E+01
    15.0500   -2.860808E-02  2.964091E-02  7.356267E+01
    15.1000   -2.942875E-02  2.946014E-02  7.387359E+01
    15.1500   -2.725258E-02  2.909642E-02  7.418534E+01
    15.2000   -2.236952E-02  2.856288E-02  7.449848E+01
    15.2500   -1.537536E-02  2.786596E-02  7.481375E+01
    15.3000   -7.104990E-03  2.700533E-02  7.513199E+01
    15.3500    1.451952E-03  2.597490E-02  7.545415E+01
    15.4000    9.254919E-03  2.476445E-02  7.578124E+01
    15.4500    1.533714E-02  2.336204E-02  7.611439E+01
    15.5000    1.894483E-02  2.175671E-02  7.645497E+01
    15.5500    1.967298E-02  1.994143E-02  7.680475E+01
    15.6000    1.756857E-02  1.791637E-02  7.716638E+01
    15.6500    1.316816E-02  1.569289E-02  7.754416E+01
    15.7000    7.443034E-03  1.329990E-02  7.794588E+01
    15.7500    1.643018E-03  1.079760E-02  7.838706E+01
    15.8000   -2.943653E-03  8.314963E-03  7.890168E+01
    15.8500   -5.270433E-03  6.166011E-03  7.956490E+01
    15.9000   -4.789097E-03  5.106582E-03  8.046509E+01
    15.9500   -1.615308E-03  5.932378E-03  8.140564E+01
    16.0000    3.449912E-03  8.124897E-03  8.211994E+01
    16.0500    9.066521E-03  1.083877E-02  8.267225E+01
    16.1000    1.362835E-02  1.370553E-02  8.314603E+01
    16.1500    1.565776E-02  1.654375E-02  8.358096E+01
    16.2000    1.417515E-02  1.924537E-02  8.399505E+01
    16.2500    8.977395E-03  2.173190E-02  8.439715E+01
    16.3000    7.423122E-04  2.394023E-02  8.479199E+01
    16.3500   -9.077675E-03  2.581799E-02  8.518228E+01
    16.4000   -1.855726E-02  2.732204E-02  8.556968E+01
    16.4500   -2.572884E-02  2.841835E-02  8.595523E+01
    16.5000   -2.903954E-02  2.908220E-02  8.633963E+01
    16.5500   -2.772155E-02  2.929842E-02  8.672338E+01
    16.6000   -2.198170E-02  2.906167E-02  8.710683E+01
    16.6500   -1.296008E-02  2.837641E-02  8.749029E+01
    16.7000   -2.465459E-03  2.725680E-02  8.787402E+01
    16.7500    7.447673E-03  2.572631E-02  8.825829E+01
    16.8000    1.495507E-02  2.381715E-02  8.864346E+01
    16.8500    1.887293E-02  2.156955E-02  8.902999E+01
    16.9000    1.890121E-02  1.903081E-02  8.941862E+01
    16.9500    1.564262E-02  1.625439E-02  8.981062E+01
