    10.9000   -3.693011E-02  3.741824E-02  4.853298E+01
    10.9500   -2.732783E-02  2.776908E-02  4.887319E+01
    11.0000   -1.501304E-02  1.749004E-02  4.923339E+01
    11.0500   -3.542006E-03  6.735961E-03  4.971179E+01
    11.1000    3.465069E-03  4.999843E-03  5.264138E+01
    11.1500    3.353093E-03  1.640798E-02  5.320127E+01
    11.2000   -4.861035E-03  2.805884E-02  5.358120E+01
    11.2500   -2.012445E-02  3.964480E-02  5.393949E+01
    11.3000   -3.943479E-02  5.096859E-02  5.429175E+01
    11.3500   -5.838751E-02  6.184385E-02  5.464196E+01
    11.4000   -7.208557E-02  7.209235E-02  5.499159E+01
    11.4500   -7.622217E-02  8.154651E-02  5.534123E+01
    11.5000   -6.809755E-02  9.005269E-02  5.569119E+01
    11.5500   -4.733534E-02  9.747417E-02  5.604160E+01
    11.6000   -1.612431E-02  1.036939E-01  5.639254E+01
    11.6500    2.108656E-02  1.086168E-01  5.674405E+01
    11.7000    5.839017E-02  1.121710E-01  5.709616E+01
    11.7500    8.955850E-02  1.143097E-01  5.744890E+01
    11.8000    1.092752E-01  1.150110E-01  5.780232E+01
    11.8500    1.142003E-01  1.142785E-01  5.815645E+01
    11.9000    1.036375E-01  1.121407E-01  5.851139E+01
    11.9500    7.966202E-02  1.086499E-01  5.886725E+01
    12.0000    4.668367E-02  1.038809E-01  5.922417E+01
    12.0500    1.051087E-02  9.834182E-02  5.958317E+01
    12.1000   -2.300369E-02  9.171189E-02  5.994379E+01
    12.1500   -4.861563E-02  8.410732E-02  6.030656E+01
    12.2000   -6.292023E-02  7.565930E-02  6.067229E+01
    12.2500   -6.492737E-02  6.651252E-02  6.104230E+01
    12.3000   -5.611889E-02  5.682477E-02  6.141884E+01
    12.3500   -3.999186E-02  4.676892E-02  6.180612E+01
    12.4000   -2.120032E-02  3.654209E-02  6.221293E+01
    12.4500   -4.490825E-03  2.640086E-02  6.266092E+01
    12.5000    6.333741E-03  1.682078E-02  6.321791E+01
    12.5500    9.199550E-03  9.502132E-03  6.414961E+01
    12.6000    4.133945E-03  1.018032E-02  6.555529E+01
    12.6500   -6.844345E-03  1.721923E-02  6.638222E+01
    12.7000   -2.027819E-02  2.516907E-02  6.691027E+01
    12.7500   -3.213266E-02  3.275484E-02  6.734902E+01
    12.8000   -3.876204E-02  3.961824E-02  6.775252E+01
    12.8500   -3.776273E-02  4.558729E-02  6.813886E+01
    12.9000   -2.852103E-02  5.055479E-02  6.851562E+01
    12.9500   -1.233804E-02  5.444934E-02  6.888646E+01
    13.0000    7.887664E-03  5.722654E-02  6.925331E+01
    13.0500    2.847293E-02  5.903779E-02  6.961830E+01
    13.1000    4.548811E-02  5.972355E-02  6.998089E+01
    13.1500    5.581321E-02  5.929664E-02  7.034136E+01
    13.2000    5.778533E-02  5.779094E-02  7.069977E+01
    13.2500    5.151945E-02  5.526077E-02  7.105592E+01
    13.3000    3.880854E-02  5.178017E-02  7.140935E+01
    13.3500    2.263748E-02  4.744200E-02  7.175921E+01
    13.4000    6.437694E-03  4.235701E-02  7.210405E+01
    13.4500   -6.729993E-03  3.665352E-02  7.244129E+01
    13.5000   -1.486302E-02  3.047904E-02  7.276602E+01
    13.5500   -1.741079E-02  2.400811E-02  7.306796E+01
    13.6000   -1.528745E-02  1.747367E-02  7.332183E+01
    13.6500   -1.051509E-02  1.130804E-02  7.345071E+01
    13.7000   -5.602414E-03  6.923881E-03  7.319932E+01
    13.7500   -2.829103E-03  7.833063E-03  7.262616E+01
    13.8000   -3.625354E-03  1.251340E-02  7.255056E+01
    13.8500   -8.206116E-03  1.777838E-02  7.273640E+01
    13.9000   -1.554769E-02  2.276071E-02  7.300862E+01
    13.9500   -2.370141E-02  2.717814E-02  7.331606E+01
    14.0000   -3.034941E-02  3.088840E-02  7.364034E+01
    14.0500   -3.356472E-02  3.393366E-02  7.397502E+01
    14.1000   -3.194830E-02  3.614462E-02  7.431408E+01
    14.1500   -2.537203E-02  3.748856E-02  7.465483E+01
    14.2000   -1.488555E-02  3.795796E-02  7.499525E+01
    14.2500   -2.427956E-03  3.756975E-02  7.533355E+01
    14.3000    9.685721E-03  3.636503E-02  7.566782E+01
    14.3500    1.935671E-02  3.440922E-02  7.599568E+01
    14.4000    2.521017E-02  3.179317E-02  7.631385E+01
    14.4500    2.688446E-02  2.863641E-02  7.661741E+01
    14.5000    2.503307E-02  2.509526E-02  7.689860E+01
    14.5500    2.105309E-02  2.138178E-02  7.714459E+01
    14.6000    1.662896E-02  1.780499E-02  7.733451E+01
    14.6500    1.322804E-02  1.484373E-02  7.743993E+01
    14.7000    1.169199E-02  1.317819E-02  7.744853E+01
    14.7500    1.203381E-02  1.336638E-02  7.741935E+01
    14.8000    1.348767E-02  1.523992E-02  7.745327E+01
    14.8500    1.478456E-02  1.809012E-02  7.758315E+01
    14.9000    1.456446E-02  2.129040E-02  7.778647E+01
    14.9500    1.180163E-02  2.445404E-02  7.803619E+01
    15.0000    6.122565E-03  2.735690E-02  7.831410E+01
    15.0500   -2.092035E-03  2.994346E-02  7.860974E+01
    15.1000   -1.176867E-02  3.207733E-02  7.891547E+01
    15.1500   -2.138693E-02  3.371908E-02  7.922688E+01
    15.2000   -2.935301E-02  3.485844E-02  7.954091E+01
    15.2500   -3.435879E-02  3.550912E-02  7.985538E+01
    15.3000   -3.564484E-02  3.570489E-02  8.016862E+01
    15.3500   -3.311001E-02  3.549590E-02  8.047935E+01
    15.4000   -2.725928E-02  3.494457E-02  8.078663E+01
    15.4500   -1.902759E-02  3.412092E-02  8.108985E+01
    15.5000   -9.546473E-03  3.309698E-02  8.138881E+01
    15.5500    7.474798E-05  3.194058E-02  8.168375E+01
    15.6000    8.899787E-03  3.070883E-02  8.197544E+01
    15.6500    1.622818E-02  2.944202E-02  8.226520E+01
    15.7000    2.158494E-02  2.815922E-02  8.255483E+01
    15.7500    2.467620E-02  2.685652E-02  8.284648E+01
    15.8000    2.535519E-02  2.550870E-02  8.314244E+01
    15.8500    2.362823E-02  2.407424E-02  8.344500E+01
    15.9000    1.970300E-02  2.250258E-02  8.375635E+01
    15.9500    1.405158E-02  2.074246E-02  8.407874E+01
    16.0000    7.442703E-03  1.875003E-02  8.441482E+01
    16.0500    8.945049E-04  1.653835E-02  8.476889E+01
    16.1000   -4.487898E-03  1.405364E-02  8.514804E+01
    16.1500   -7.678124E-03  1.132730E-02  8.556783E+01
    16.2000   -8.025815E-03  8.474038E-03  8.606710E+01
    16.2500   -5.488808E-03  5.866083E-03  8.675440E+01
    16.3000   -7.455600E-04  4.722740E-03  8.780607E+01
    16.3500    4.872281E-03  6.378327E-03  8.883390E+01
    16.4000    9.640412E-03  9.643059E-03  8.951196E+01
    16.4500    1.185081E-02  1.342694E-02  9.002479E+01
    16.5000    1.027272E-02  1.734442E-02  9.047230E+01
    16.5500    4.541220E-03  2.121188E-02  9.089043E+01
    16.6000   -4.644243E-03  2.490274E-02  9.129378E+01
    16.6500   -1.558676E-02  2.831269E-02  9.168918E+01
    16.7000   -2.593083E-02  3.135073E-02  9.208015E+01
    16.7500   -3.320390E-02  3.393737E-02  9.246870E+01
    16.8000   -3.542942E-02  3.600505E-02  9.285604E+01
    16.8500   -3.165201E-02  3.749930E-02  9.324295E+01
    16.9000   -2.223027E-02  3.837984E-02  9.363001E+01
    16.9500   -8.809008E-03  3.862154E-02  9.401767E+01
    17.0000    6.034279E-03  3.821513E-02  9.440635E+01
    17.0500    1.944693E-02  3.722466E-02  9.479747E+01
    17.1000    2.881557E-02  3.561058E-02  9.519054E+01
