PATH  Rmax= 6.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
 -----------------------------------------------------------------------
     1    2   4.000  index, nleg, degeneracy, r=  1.8179
    1.713950   -2.423890    0.000000   1 'Fe    '     2.9686   35.2644    0.0000
    1.713950   -4.241800   -0.000001   2 'N     '     1.8179  180.0000    0.0000
    1.713950   -2.423890    0.000000   1 'Fe    '     1.8179   35.2644    0.0000
    0.000000    0.000000    0.000000   0 'Fe    '     2.9686  180.0000    0.0000
    30    4  48.000  index, nleg, degeneracy, r=  4.7866
      x           y           z     ipot  label      rleg      beta        eta
   -0.000000   -1.817920   -0.000001   2 'N     '     1.8179   70.5288 -120.0000
   -0.856974   -2.423890   -1.484320   1 'Fe    '     1.8179  144.7356   35.2645
    1.713950   -2.423890    0.000000   1 'Fe    '     2.9686  120.0000  -35.2643
    0.000000    0.000000    0.000000   0 'Fe    '     2.9686  144.7356  120.0001
    31    4  48.000  index, nleg, degeneracy, r=  4.7866
      x           y           z     ipot  label      rleg      beta        eta
    0.856974    2.423890    1.484320   1 'Fe    '     2.9686  180.0000    0.0000
    0.000000    0.000000    0.000000   0 'Fe    '     2.9686   90.0001    0.0000
    0.856973    0.605972   -1.484320   2 'N     '     1.8179  180.0000    0.0000
    0.000000    0.000000    0.000000   0 'Fe    '     1.8179   90.0001    0.0000
    32    4  24.000  index, nleg, degeneracy, r=  4.7866
      x           y           z     ipot  label      rleg      beta        eta
    2.570920    0.000000    1.484320   1 'Fe    '     2.9686  180.0000    0.0000
    0.000000    0.000000    0.000000   0 'Fe    '     2.9686  144.7356    0.0000
    0.856973    0.605972    1.484320   2 'N     '     1.8179  180.0000    0.0000
    0.000000    0.000000    0.000000   0 'Fe    '     1.8179  144.7356    0.0000
    33    4  24.000  index, nleg, degeneracy, r=  4.7866
      x           y           z     ipot  label      rleg      beta        eta
   -1.713950    2.423890    0.000000   1 'Fe    '     2.9686   35.2644    0.0000
   -3.427890    3.029860   -0.000001   2 'N     '     1.8179  144.7355    0.0000
   -1.713950    0.605972   -0.000001   2 'N     '     2.9686   35.2645    0.0000
    0.000000    0.000000    0.000000   0 'Fe    '     1.8179  144.7356    0.0000
    34    3  72.000  index, nleg, degeneracy, r=  4.9654
      x           y           z     ipot  label      rleg      beta        eta
    3.427890    0.605972    0.000002   2 'N     '     3.4810  129.5211    0.0000
    1.713950   -2.423890    0.000000   1 'Fe    '     3.4810  115.2395    0.0000
    0.000000    0.000000    0.000000   0 'Fe    '     2.9686  115.2394    0.0000
    35    3  36.000  index, nleg, degeneracy, r=  4.9654
      x           y           z     ipot  label      rleg      beta        eta
   -0.000000   -1.817920   -2.968640   2 'N     '     3.4810  115.2394    0.0000
    2.570920   -1.817920   -1.484320   2 'N     '     2.9686  115.2394    0.0000
    0.000000    0.000000    0.000000   0 'Fe    '     3.4810  129.5212    0.0000
    36    4  24.000  index, nleg, degeneracy, r=  5.0144
      x           y           z     ipot  label      rleg      beta        eta
    0.856973    0.605972   -1.484320   2 'N     '     1.8179   70.5288    0.0000
    2.570920    0.000000   -1.484320   1 'Fe    '     1.8179  157.9983  180.0000
   -1.713950    0.605972   -0.000001   2 'N     '     4.5750  157.9983    0.0000
    0.000000    0.000000    0.000000   0 'Fe    '     1.8179   70.5288  180.0000
    37    4  24.000  index, nleg, degeneracy, r=  5.0144
      x           y           z     ipot  label      rleg      beta        eta
   -4.284870    0.605972   -1.484320   2 'N     '     4.5750  157.9983    0.0000
   -2.570920   -0.000000   -1.484320   1 'Fe    '     1.8179   70.5288  180.0000
   -1.713950    0.605972   -0.000001   2 'N     '     1.8179   70.5288    0.0000
    0.000000    0.000000    0.000000   0 'Fe    '     1.8179  157.9983  180.0000
    38    3  48.000  index, nleg, degeneracy, r=  5.0678
      x           y           z     ipot  label      rleg      beta        eta
    1.713950   -2.423890    2.968640   1 'Fe    '     4.1983  135.0000    0.0000
    2.570920    0.000000    1.484320   1 'Fe    '     2.9686   90.0000    0.0000
    0.000000    0.000000    0.000000   0 'Fe    '     2.9686  135.0000    0.0000
    39    5  48.000  index, nleg, degeneracy, r=  5.1201
      x           y           z     ipot  label      rleg      beta        eta
   -1.713950    0.605972   -0.000001   2 'N     '     1.8179  144.7357    0.0000
    0.856973    0.605972    1.484320   2 'N     '     2.9686  144.7356 -120.0000
    0.000000    0.000000    0.000000   0 'Fe    '     1.8179   70.5288    0.0000
    0.856973    0.605972   -1.484320   2 'N     '     1.8179  180.0000    0.0000
    0.000000    0.000000    0.000000   0 'Fe    '     1.8179   70.5288  120.0000
    40    5  24.000  index, nleg, degeneracy, r=  5.1201
      x           y           z     ipot  label      rleg      beta        eta
    0.856973    0.605972   -1.484320   2 'N     '     1.8179  144.7355    0.0000
   -0.000000   -1.817920   -0.000001   2 'N     '     2.9686  144.7357    0.0000
    0.000000    0.000000    0.000000   0 'Fe    '     1.8179   70.5288    0.0000
    0.856973    0.605972   -1.484320   2 'N     '     1.8179  180.0000    0.0000
    0.000000    0.000000    0.000000   0 'Fe    '     1.8179  180.0000    0.0000
    41    5  24.000  index, nleg, degeneracy, r=  5.1201
      x           y           z     ipot  label      rleg      beta        eta
   -1.713950    0.605972   -0.000001   2 'N     '     1.8179   35.2644    0.0000
   -4.284870    0.605972    1.484320   2 'N     '     2.9686  144.7356    0.0000
   -2.570920    0.000000    1.484320   1 'Fe    '     1.8179   70.5289  180.0000
   -1.713950    0.605972   -0.000001   2 'N     '     1.8179   70.5289    0.0000
    0.000000    0.000000    0.000000   0 'Fe    '     1.8179  180.0000    0.0000
    42    5  24.000  index, nleg, degeneracy, r=  5.1201
      x           y           z     ipot  label      rleg      beta        eta
   -1.713950    0.605972   -0.000001   2 'N     '     1.8179  144.7357    0.0000
    0.856973    0.605972   -1.484320   2 'N     '     2.9686  144.7356    0.0000
    0.000000    0.000000    0.000000   0 'Fe    '     1.8179  180.0000    0.0000
    0.856973    0.605972   -1.484320   2 'N     '     1.8179  180.0000    0.0000
    0.000000    0.000000    0.000000   0 'Fe    '     1.8179   70.5288    0.0000
    43    5  48.000  index, nleg, degeneracy, r=  5.1201
      x           y           z     ipot  label      rleg      beta        eta
   -1.713950    0.605972   -0.000001   2 'N     '     1.8179   70.5289    0.0000
   -2.570920    0.000000    1.484320   1 'Fe    '     1.8179  180.0000    0.0000
   -1.713950    0.605972   -0.000001   2 'N     '     1.8179   70.5287  119.9999
   -2.570920   -0.000000   -1.484320   1 'Fe    '     1.8179  144.7355    0.0000
    0.000000    0.000000    0.000000   0 'Fe    '     2.9686  144.7357 -120.0000
    44    5  24.000  index, nleg, degeneracy, r=  5.1201
      x           y           z     ipot  label      rleg      beta        eta
    0.856974    2.423890   -1.484320   1 'Fe    '     2.9686  144.7357    0.0000
    0.856973    0.605972   -1.484320   2 'N     '     1.8179   70.5287    0.0000
    0.000000    0.000000    0.000000   0 'Fe    '     1.8179  180.0000    0.0000
    0.856973    0.605972   -1.484320   2 'N     '     1.8179  180.0000    0.0000
    0.000000    0.000000    0.000000   0 'Fe    '     1.8179  144.7356    0.0000
    45    5  24.000  index, nleg, degeneracy, r=  5.1201
      x           y           z     ipot  label      rleg      beta        eta
    0.000000    0.000000    2.968640   1 'Fe    '     2.9686  144.7356    0.0000
    0.856973    0.605972    1.484320   2 'N     '     1.8179  180.0000    0.0000
    0.000000    0.000000    2.968640   1 'Fe    '     1.8179  180.0000    0.0000
    0.856973    0.605972    1.484320   2 'N     '     1.8179   70.5288    0.0000
    0.000000    0.000000    0.000000   0 'Fe    '     1.8179  144.7356    0.0000
    46    2  24.000  index, nleg, degeneracy, r=  5.1418
      x           y           z     ipot  label      rleg      beta        eta
   -2.570920    0.000000    4.452960   1 'Fe    '     5.1418  180.0000    0.0000
    0.000000    0.000000    0.000000   0 'Fe    '     5.1418  180.0000    0.0000
    47    3  24.000  index, nleg, degeneracy, r=  5.2204
      x           y           z     ipot  label      rleg      beta        eta
   -1.713950    0.605972   -0.000001   2 'N     '     1.8179  160.5288    0.0000
    3.427890    0.605972    0.000002   2 'N     '     5.1418  169.9750    0.0000
    0.000000    0.000000    0.000000   0 'Fe    '     3.4810   29.4962    0.0000
    48    3  24.000  index, nleg, degeneracy, r=  5.2204
      x           y           z     ipot  label      rleg      beta        eta
    0.856974    2.423890   -4.452960   1 'Fe    '     5.1418  169.9750    0.0000
    0.856973    0.605972   -1.484320   2 'N     '     3.4810   29.4962    0.0000
    0.000000    0.000000    0.000000   0 'Fe    '     1.8179  160.5288    0.0000
    49    3  24.000  index, nleg, degeneracy, r=  5.2204
      x           y           z     ipot  label      rleg      beta        eta
   -0.856973    4.847780    1.484320   1 'Fe    '     5.1418  160.5288    0.0000
   -0.856973    3.029860    1.484320   2 'N     '     1.8179   29.4962    0.0000
    0.000000    0.000000    0.000000   0 'Fe    '     3.4810  169.9750    0.0000
    50    4  24.000  index, nleg, degeneracy, r=  5.2989
      x           y           z     ipot  label      rleg      beta        eta
   -1.713950    0.605972   -0.000001   2 'N     '     1.8179  180.0000    0.0000
    0.000000    0.000000    0.000000   0 'Fe    '     1.8179   29.4962    0.0000
    3.427890    0.605972    0.000002   2 'N     '     3.4810  180.0000    0.0000
    0.000000    0.000000    0.000000   0 'Fe    '     3.4810   29.4962    0.0000
    51    4  24.000  index, nleg, degeneracy, r=  5.2989
      x           y           z     ipot  label      rleg      beta        eta
    0.856973    0.605972   -1.484320   2 'N     '     1.8179  121.4821    0.0000
    1.713950   -2.423890    0.000000   1 'Fe    '     3.4810  180.0000    0.0000
    0.856973    0.605972   -1.484320   2 'N     '     3.4810  121.4821    0.0000
    0.000000    0.000000    0.000000   0 'Fe    '     1.8179  180.0000    0.0000
    52    4  12.000  index, nleg, degeneracy, r=  5.2989
      x           y           z     ipot  label      rleg      beta        eta
   -0.000000   -1.817920   -0.000001   2 'N     '     1.8179   29.4962    0.0000
   -1.713950   -4.847780   -0.000003   1 'Fe    '     3.4810  180.0000    0.0000
   -0.000000   -1.817920   -0.000001   2 'N     '     3.4810   29.4962    0.0000
    0.000000    0.000000    0.000000   0 'Fe    '     1.8179  180.0000    0.0000
    53    4  48.000  index, nleg, degeneracy, r=  5.2989
      x           y           z     ipot  label      rleg      beta        eta
    2.570920   -1.817920   -1.484320   2 'N     '     3.4810  180.0000    0.0000
    0.000000    0.000000    0.000000   0 'Fe    '     3.4810  121.4821    0.0000
    0.856973    0.605972   -1.484320   2 'N     '     1.8179  180.0000    0.0000
    0.000000    0.000000    0.000000   0 'Fe    '     1.8179  121.4821    0.0000
    54    4  24.000  index, nleg, degeneracy, r=  5.2989
      x           y           z     ipot  label      rleg      beta        eta
    2.570920   -1.817920   -1.484320   2 'N     '     3.4810  121.4821    0.0000
    1.713950   -2.423890    0.000000   1 'Fe    '     1.8179  180.0000    0.0000
    2.570920   -1.817920   -1.484320   2 'N     '     1.8179  121.4821    0.0000
    0.000000    0.000000    0.000000   0 'Fe    '     3.4810  180.0000    0.0000
    55    4  12.000  index, nleg, degeneracy, r=  5.2989
      x           y           z     ipot  label      rleg      beta        eta
   -2.570920   -1.817920    1.484320   2 'N     '     3.4810   29.4963    0.0000
   -3.427890   -2.423890    2.968640   1 'Fe    '     1.8179  180.0000    0.0000
   -2.570920   -1.817920    1.484320   2 'N     '     1.8179   29.4963    0.0000
    0.000000    0.000000    0.000000   0 'Fe    '     3.4810  180.0000    0.0000
    56    2  16.000  index, nleg, degeneracy, r=  5.4537
      x           y           z     ipot  label      rleg      beta        eta
    1.713950   -4.241800    2.968640   2 'N     '     5.4537  180.0000    0.0000
    0.000000    0.000000    0.000000   0 'Fe    '     5.4537  180.0000    0.0000
    57    3  48.000  index, nleg, degeneracy, r=  5.5123
      x           y           z     ipot  label      rleg      beta        eta
   -2.570920   -1.817920    1.484320   2 'N     '     3.4810  139.5424    0.0000
   -1.713950    2.423890    0.000000   1 'Fe    '     4.5750  130.4577    0.0000
    0.000000    0.000000    0.000000   0 'Fe    '     2.9686   89.9999    0.0000
    58    3  48.000  index, nleg, degeneracy, r=  5.5123
      x           y           z     ipot  label      rleg      beta        eta
    3.427890    0.605972    2.968650   2 'N     '     4.5750  139.5424    0.0000
    0.000000    0.000000    2.968640   1 'Fe    '     3.4810   89.9998    0.0000
    0.000000    0.000000    0.000000   0 'Fe    '     2.9686  130.4577    0.0000
    59    3  48.000  index, nleg, degeneracy, r=  5.5123
      x           y           z     ipot  label      rleg      beta        eta
   -4.284870    0.605972   -1.484320   2 'N     '     4.5750  130.4576    0.0000
   -2.570920   -1.817920   -1.484320   2 'N     '     2.9686   90.0001    0.0000
    0.000000    0.000000    0.000000   0 'Fe    '     3.4810  139.5423    0.0000
    60    3  48.000  index, nleg, degeneracy, r=  5.5396
      x           y           z     ipot  label      rleg      beta        eta
    2.570920    0.000000   -1.484320   1 'Fe    '     2.9686  150.0000    0.0000
   -0.856974   -2.423890    1.484320   1 'Fe    '     5.1418  150.0000    0.0000
    0.000000    0.000000    0.000000   0 'Fe    '     2.9686   60.0000    0.0000
    61    3  96.000  index, nleg, degeneracy, r=  5.5396
      x           y           z     ipot  label      rleg      beta        eta
    3.427890    2.423890    2.968650   1 'Fe    '     5.1418  150.0000    0.0000
    0.856974    2.423890    1.484320   1 'Fe    '     2.9686   60.0000    0.0000
    0.000000    0.000000    0.000000   0 'Fe    '     2.9686  150.0000    0.0000
    62    4  48.000  index, nleg, degeneracy, r=  5.6181
      x           y           z     ipot  label      rleg      beta        eta
    1.713950    3.029860    0.000002   2 'N     '     3.4810  148.5179   19.4712
    0.856973    0.605972   -1.484320   2 'N     '     2.9686  120.0000 -144.7357
    0.856973    0.605972    1.484320   2 'N     '     2.9686  144.7356   30.0000
    0.000000    0.000000    0.000000   0 'Fe    '     1.8179  121.4822 -146.4427
    63    4  48.000  index, nleg, degeneracy, r=  5.6181
      x           y           z     ipot  label      rleg      beta        eta
   -2.570920   -1.817920   -1.484320   2 'N     '     3.4810  148.5178  -19.4712
   -0.000000   -1.817920   -0.000001   2 'N     '     2.9686   60.0001   35.2644
    0.856973    0.605972    1.484320   2 'N     '     2.9686  144.7356  -59.9999
    0.000000    0.000000    0.000000   0 'Fe    '     1.8179   29.4962   73.2213
    64    4  48.000  index, nleg, degeneracy, r=  5.6181
      x           y           z     ipot  label      rleg      beta        eta
    1.713950   -2.423890    0.000000   1 'Fe    '     2.9686  148.5179   33.5574
    0.856973    0.605972   -1.484320   2 'N     '     3.4810  148.5178 -125.2643
   -0.000000   -1.817920   -0.000001   2 'N     '     2.9686  144.7357   60.0000
    0.000000    0.000000    0.000000   0 'Fe    '     1.8179  144.7356 -125.2644
    65    4  48.000  index, nleg, degeneracy, r=  5.6181
      x           y           z     ipot  label      rleg      beta        eta
   -1.713950    0.605972   -0.000001   2 'N     '     1.8179   35.2645  125.2643
   -3.427890    3.029860   -0.000001   2 'N     '     2.9686  148.5179  -16.7788
   -2.570920    0.000000    1.484320   1 'Fe    '     3.4810   90.0000   25.2395
    0.000000    0.000000    0.000000   0 'Fe    '     2.9686  144.7356 -119.9999
    66    4  48.000  index, nleg, degeneracy, r=  5.6181
      x           y           z     ipot  label      rleg      beta        eta
   -2.570920   -0.000000   -1.484320   1 'Fe    '     2.9686  144.7355   60.0000
   -1.713950    0.605972   -0.000001   2 'N     '     1.8179  144.7355 -125.2643
   -2.570920   -1.817920   -1.484320   2 'N     '     2.9686  148.5178   33.5573
    0.000000    0.000000    0.000000   0 'Fe    '     3.4810  148.5178 -125.2644
    67    4  48.000  index, nleg, degeneracy, r=  5.6181
      x           y           z     ipot  label      rleg      beta        eta
    2.570920    0.000000   -1.484320   1 'Fe    '     2.9686  148.5178  -73.2214
    0.856973    0.605972    1.484320   2 'N     '     3.4810   29.4962   60.0000
    0.000000    0.000000    2.968640   1 'Fe    '     1.8179  144.7356  -35.2644
    0.000000    0.000000    0.000000   0 'Fe    '     2.9686   60.0000   19.4712
    68    4  48.000  index, nleg, degeneracy, r=  5.6181
      x           y           z     ipot  label      rleg      beta        eta
    0.856974    2.423890    1.484320   1 'Fe    '     2.9686   35.2646 -120.0000
    1.713950    3.029860    2.968650   2 'N     '     1.8179  144.7357   25.2395
    1.713950    3.029860    0.000002   2 'N     '     2.9686   90.0000  -16.7788
    0.000000    0.000000    0.000000   0 'Fe    '     3.4810  148.5179  125.2644
    69    4  48.000  index, nleg, degeneracy, r=  5.6181
      x           y           z     ipot  label      rleg      beta        eta
    0.000000    0.000000    2.968640   1 'Fe    '     2.9686   59.9999   19.4712
    0.856974    2.423890    4.452970   1 'Fe    '     2.9687  148.5179  -73.2213
    0.856973    0.605972    1.484320   2 'N     '     3.4810   29.4962   59.9999
